size,transferred_rank_of_9,norm_regret,pct_compute_saved,objective,spearman_rho_step400_vs_final
0.6b,1,0.0,71.38247979306603,Z-All,0.8833333333333333
1.7b,2,0.01944856822622806,71.38255046804143,Z-All,0.9166666666666666
4b,1,0.0,71.38238576470758,Z-All,0.6833333333333333
8b,1,0.0,71.3824485404609,Z-All,0.8499999999999999
14b,2,0.29595260414439906,71.38247044314969,Z-All,0.38333333333333336
0.6b,2,0.006970001953710358,71.38247979306603,Z-Dynamic,0.7666666666666667
1.7b,2,0.04643771234514839,71.38255046804143,Z-Dynamic,0.9166666666666666
4b,1,0.0,71.38238576470758,Z-Dynamic,0.8333333333333333
8b,1,0.0,71.3824485404609,Z-Dynamic,0.8499999999999999
14b,1,0.0,71.38247044314969,Z-Dynamic,0.48333333333333334
0.6b,1,0.0,71.38247979306603,Z-Static,0.9333333333333332
1.7b,1,0.0,71.38255046804143,Z-Static,0.9666666666666667
4b,1,0.0,71.38238576470758,Z-Static,0.8333333333333333
8b,1,0.0,71.3824485404609,Z-Static,0.5333333333333333
14b,2,0.24740703325261598,71.38247044314969,Z-Static,0.3666666666666667
